student_id,technical_skills,soft_skills,project_titles
2557,"Docker, Python, SQL","Adaptability, Problem Solving, Communication","Automation Bot, Inventory System, Data Pipeline"
2558,"SQL, C++, Pandas","Adaptability, Communication, Leadership","Analytics Dashboard, Data Pipeline, Student CRM"
2559,"C++, SQL, JavaScript","Teamwork, Problem Solving, Time Management","Inventory System, Student CRM, Analytics Dashboard"
2560,"Node.js, SQL, Docker","Problem Solving, Teamwork, Adaptability","Student CRM, Analytics Dashboard, Placement Portal"
2561,"Python, Excel, AWS","Time Management, Teamwork, Adaptability","Attendance Tracker, Recommendation Engine, Analytics Dashboard"
2562,"C++, Docker, DSA","Problem Solving, Adaptability, Communication","Analytics Dashboard, Student CRM, Data Pipeline"
2563,"Python, AWS, C++","Leadership, Time Management, Communication","Chatbot, Data Pipeline, Student CRM"
2564,"SQL, Excel, C++","Communication, Adaptability, Teamwork","Recommendation Engine, Data Pipeline, ETL Tool"
2565,"SQL, Docker, JavaScript","Adaptability, Time Management, Leadership","Automation Bot, Inventory System, Recommendation Engine"
2566,"Python, Java, Docker","Problem Solving, Time Management, Communication","Placement Portal, Student CRM, Automation Bot"
2567,"Python, AWS, JavaScript","Leadership, Time Management, Teamwork","Data Pipeline, Recommendation Engine, Inventory System"
2568,"React, Excel, AWS","Problem Solving, Leadership, Time Management","Recommendation Engine, Student CRM, ETL Tool"
2569,"Pandas, Excel, C++","Communication, Time Management, Adaptability","ETL Tool, Inventory System, Chatbot"
2570,"Excel, JavaScript, AWS","Communication, Adaptability, Time Management","Data Pipeline, Recommendation Engine, Automation Bot"
2571,"Docker, C++, Pandas","Time Management, Teamwork, Problem Solving","Chatbot, Data Pipeline, Analytics Dashboard"
2572,"Java, Docker, Pandas","Problem Solving, Adaptability, Communication","Student CRM, Attendance Tracker, Data Pipeline"
2573,"Python, React, Pandas","Problem Solving, Communication, Time Management","Analytics Dashboard, Recommendation Engine, Attendance Tracker"
2574,"Python, React, Pandas","Communication, Time Management, Adaptability","Data Pipeline, Inventory System, ETL Tool"
2575,"Docker, Java, Node.js","Leadership, Teamwork, Time Management","Inventory System, Automation Bot, Chatbot"
2576,"Excel, Python, Java","Adaptability, Communication, Time Management","Data Pipeline, Analytics Dashboard, Recommendation Engine"
2577,"Java, JavaScript, DSA","Adaptability, Communication, Teamwork","ETL Tool, Inventory System, Automation Bot"
2578,"React, Excel, JavaScript","Adaptability, Time Management, Communication","Inventory System, Chatbot, Placement Portal"
2579,"DSA, Pandas, Node.js","Leadership, Adaptability, Problem Solving","Chatbot, Attendance Tracker, Analytics Dashboard"
2580,"AWS, Docker, Java","Adaptability, Leadership, Time Management","Automation Bot, Recommendation Engine, Data Pipeline"
2581,"AWS, Java, JavaScript","Problem Solving, Time Management, Teamwork","ETL Tool, Attendance Tracker, Analytics Dashboard"
2582,"Node.js, Java, JavaScript","Communication, Leadership, Problem Solving","Analytics Dashboard, Placement Portal, Attendance Tracker"
2583,"React, Pandas, Docker","Adaptability, Time Management, Teamwork","Placement Portal, Inventory System, ETL Tool"
2584,"Excel, JavaScript, C++","Adaptability, Communication, Leadership","Analytics Dashboard, ETL Tool, Inventory System"
2585,"JavaScript, Node.js, AWS","Time Management, Leadership, Teamwork","Data Pipeline, Placement Portal, Recommendation Engine"
2586,"Docker, Pandas, Excel","Leadership, Teamwork, Adaptability","Analytics Dashboard, ETL Tool, Data Pipeline"
2587,"C++, Docker, Java","Adaptability, Problem Solving, Communication","ETL Tool, Placement Portal, Inventory System"
2588,"Pandas, JavaScript, Node.js","Problem Solving, Adaptability, Time Management","Student CRM, Inventory System, Automation Bot"
2589,"SQL, C++, AWS","Adaptability, Communication, Leadership","Recommendation Engine, ETL Tool, Data Pipeline"
2590,"Node.js, Java, Docker","Problem Solving, Time Management, Adaptability","Student CRM, Placement Portal, Automation Bot"
2591,"Python, Pandas, C++","Time Management, Problem Solving, Communication","Automation Bot, Attendance Tracker, Inventory System"
2592,"Excel, JavaScript, AWS","Problem Solving, Communication, Teamwork","Data Pipeline, Placement Portal, Automation Bot"
2593,"Node.js, Excel, SQL","Adaptability, Problem Solving, Leadership","Student CRM, Inventory System, Recommendation Engine"
2594,"Node.js, JavaScript, Excel","Communication, Time Management, Adaptability","Chatbot, Recommendation Engine, Attendance Tracker"
2595,"Node.js, DSA, AWS","Communication, Leadership, Time Management","Data Pipeline, Recommendation Engine, Placement Portal"
2596,"React, DSA, Java","Time Management, Leadership, Communication","Student CRM, Data Pipeline, Chatbot"
2597,"C++, SQL, React","Teamwork, Communication, Problem Solving","Automation Bot, Student CRM, ETL Tool"
2598,"React, JavaScript, Java","Time Management, Teamwork, Communication","Student CRM, Data Pipeline, Chatbot"
2599,"Docker, JavaScript, DSA","Problem Solving, Leadership, Communication","Recommendation Engine, Placement Portal, ETL Tool"
2600,"Docker, DSA, React","Problem Solving, Leadership, Teamwork","Automation Bot, Inventory System, Data Pipeline"
2601,"DSA, Docker, SQL","Problem Solving, Leadership, Adaptability","ETL Tool, Inventory System, Data Pipeline"
2602,"C++, DSA, SQL","Adaptability, Time Management, Communication","Recommendation Engine, Analytics Dashboard, Data Pipeline"
2603,"C++, AWS, Docker","Communication, Adaptability, Time Management","Recommendation Engine, Attendance Tracker, Analytics Dashboard"
2604,"Java, React, Docker","Leadership, Adaptability, Problem Solving","Placement Portal, ETL Tool, Recommendation Engine"
2605,"React, Docker, Node.js","Adaptability, Communication, Leadership","Placement Portal, Inventory System, Recommendation Engine"
2606,"Python, Docker, C++","Time Management, Teamwork, Leadership","ETL Tool, Inventory System, Analytics Dashboard"
2607,"Pandas, Excel, Docker","Time Management, Leadership, Problem Solving","ETL Tool, Student CRM, Placement Portal"
2608,"Java, Node.js, JavaScript","Problem Solving, Time Management, Teamwork","Automation Bot, Data Pipeline, Inventory System"
2609,"DSA, C++, Excel","Communication, Leadership, Time Management","Student CRM, ETL Tool, Inventory System"
2610,"Pandas, Excel, Python","Leadership, Problem Solving, Teamwork","Placement Portal, Data Pipeline, Automation Bot"
2611,"Docker, AWS, React","Time Management, Adaptability, Leadership","Analytics Dashboard, ETL Tool, Inventory System"
2612,"Node.js, Pandas, DSA","Communication, Problem Solving, Leadership","Recommendation Engine, ETL Tool, Student CRM"
2613,"DSA, Excel, AWS","Communication, Time Management, Leadership","Analytics Dashboard, Recommendation Engine, Placement Portal"
2614,"Docker, Java, SQL","Time Management, Problem Solving, Communication","Student CRM, Placement Portal, Recommendation Engine"
2615,"Excel, JavaScript, Pandas","Teamwork, Adaptability, Time Management","Recommendation Engine, Attendance Tracker, Data Pipeline"
2616,"Node.js, C++, Pandas","Time Management, Communication, Problem Solving","Data Pipeline, Recommendation Engine, Chatbot"
2617,"SQL, Docker, C++","Adaptability, Problem Solving, Time Management","Placement Portal, Data Pipeline, Analytics Dashboard"
2618,"AWS, Python, React","Teamwork, Adaptability, Leadership","Attendance Tracker, ETL Tool, Student CRM"
2619,"Python, JavaScript, Excel","Time Management, Problem Solving, Leadership","Inventory System, Automation Bot, Analytics Dashboard"
2620,"Python, Node.js, C++","Communication, Teamwork, Problem Solving","Student CRM, Chatbot, Attendance Tracker"
2621,"AWS, Docker, Node.js","Time Management, Leadership, Problem Solving","ETL Tool, Automation Bot, Placement Portal"
2622,"React, JavaScript, DSA","Teamwork, Problem Solving, Time Management","ETL Tool, Automation Bot, Student CRM"
2623,"Pandas, Docker, Java","Adaptability, Teamwork, Time Management","Student CRM, Recommendation Engine, Analytics Dashboard"
2624,"SQL, Node.js, DSA","Adaptability, Teamwork, Problem Solving","ETL Tool, Student CRM, Inventory System"
2625,"JavaScript, React, Docker","Teamwork, Problem Solving, Adaptability","Placement Portal, Data Pipeline, Analytics Dashboard"
2626,"SQL, C++, Excel","Problem Solving, Time Management, Teamwork","Inventory System, ETL Tool, Automation Bot"
2627,"Pandas, Docker, Java","Leadership, Teamwork, Communication","Placement Portal, Inventory System, Recommendation Engine"
2628,"Node.js, AWS, SQL","Time Management, Communication, Leadership","Chatbot, Attendance Tracker, Placement Portal"
2629,"SQL, JavaScript, Excel","Communication, Leadership, Adaptability","Automation Bot, Student CRM, Recommendation Engine"
2630,"C++, Node.js, DSA","Adaptability, Problem Solving, Communication","Recommendation Engine, ETL Tool, Automation Bot"
2631,"Python, AWS, Docker","Problem Solving, Teamwork, Leadership","Chatbot, Data Pipeline, Placement Portal"
2632,"Excel, Node.js, React","Teamwork, Communication, Time Management","ETL Tool, Student CRM, Inventory System"
2633,"C++, Docker, Java","Teamwork, Problem Solving, Communication","Recommendation Engine, Chatbot, Student CRM"
2634,"DSA, C++, JavaScript","Leadership, Teamwork, Adaptability","Automation Bot, Recommendation Engine, Attendance Tracker"
2635,"React, AWS, Pandas","Communication, Teamwork, Problem Solving","Automation Bot, Data Pipeline, Chatbot"
2636,"Excel, DSA, JavaScript","Communication, Time Management, Adaptability","Automation Bot, Recommendation Engine, Student CRM"
2637,"C++, Node.js, React","Time Management, Problem Solving, Teamwork","Chatbot, Data Pipeline, Student CRM"
2638,"Java, SQL, Pandas","Time Management, Problem Solving, Adaptability","Attendance Tracker, ETL Tool, Automation Bot"
2639,"Excel, Pandas, Java","Problem Solving, Communication, Adaptability","Automation Bot, Analytics Dashboard, Placement Portal"
2640,"SQL, DSA, Python","Problem Solving, Adaptability, Leadership","Inventory System, ETL Tool, Recommendation Engine"
2641,"JavaScript, C++, DSA","Adaptability, Leadership, Communication","ETL Tool, Analytics Dashboard, Chatbot"
2642,"DSA, Python, Node.js","Communication, Teamwork, Time Management","Attendance Tracker, ETL Tool, Chatbot"
2643,"React, Pandas, JavaScript","Problem Solving, Teamwork, Communication","Chatbot, ETL Tool, Analytics Dashboard"
2644,"C++, Node.js, React","Teamwork, Leadership, Time Management","Inventory System, Automation Bot, Recommendation Engine"
2645,"Pandas, DSA, JavaScript","Adaptability, Leadership, Time Management","Attendance Tracker, Placement Portal, Chatbot"
2646,"C++, SQL, Pandas","Communication, Teamwork, Time Management","Student CRM, Placement Portal, Data Pipeline"
2647,"DSA, Docker, Node.js","Problem Solving, Leadership, Teamwork","ETL Tool, Placement Portal, Inventory System"
2648,"AWS, SQL, C++","Leadership, Adaptability, Problem Solving","Attendance Tracker, Data Pipeline, Automation Bot"
2649,"Excel, Node.js, C++","Adaptability, Communication, Teamwork","Recommendation Engine, Inventory System, Automation Bot"
2650,"Excel, Pandas, DSA","Problem Solving, Communication, Teamwork","Inventory System, ETL Tool, Student CRM"
2651,"JavaScript, C++, Docker","Communication, Time Management, Leadership","Recommendation Engine, Student CRM, Placement Portal"
2652,"Excel, DSA, Docker","Adaptability, Problem Solving, Communication","Placement Portal, Attendance Tracker, Chatbot"
2653,"Docker, Python, AWS","Communication, Teamwork, Adaptability","Student CRM, Placement Portal, Automation Bot"
2654,"Java, JavaScript, AWS","Problem Solving, Time Management, Leadership","Student CRM, Inventory System, Analytics Dashboard"
2655,"SQL, DSA, AWS","Teamwork, Communication, Leadership","Analytics Dashboard, Inventory System, Data Pipeline"
2656,"Docker, Excel, Node.js","Adaptability, Teamwork, Communication","Automation Bot, Student CRM, ETL Tool"
2657,"Excel, DSA, Pandas","Teamwork, Leadership, Communication","Data Pipeline, Placement Portal, Inventory System"
2658,"AWS, C++, SQL","Teamwork, Leadership, Communication","Data Pipeline, Student CRM, Analytics Dashboard"
2659,"C++, Python, DSA","Leadership, Time Management, Teamwork","Inventory System, Attendance Tracker, Chatbot"
2660,"Java, SQL, Docker","Communication, Teamwork, Time Management","Analytics Dashboard, Inventory System, Placement Portal"
2661,"C++, Pandas, Java","Teamwork, Leadership, Communication","ETL Tool, Placement Portal, Recommendation Engine"
2662,"JavaScript, AWS, Pandas","Time Management, Leadership, Problem Solving","ETL Tool, Inventory System, Placement Portal"
2663,"Java, Python, Pandas","Problem Solving, Time Management, Communication","ETL Tool, Placement Portal, Attendance Tracker"
2664,"JavaScript, C++, SQL","Teamwork, Adaptability, Time Management","Inventory System, Chatbot, Student CRM"
2665,"React, SQL, Node.js","Problem Solving, Time Management, Communication","Automation Bot, Inventory System, Placement Portal"
2666,"Excel, DSA, Python","Time Management, Leadership, Teamwork","Recommendation Engine, Chatbot, Data Pipeline"
2667,"JavaScript, Pandas, DSA","Time Management, Teamwork, Communication","Student CRM, Chatbot, Attendance Tracker"
2668,"SQL, C++, React","Communication, Problem Solving, Leadership","Inventory System, Data Pipeline, Chatbot"
2669,"React, JavaScript, Python","Adaptability, Communication, Problem Solving","Analytics Dashboard, Attendance Tracker, Data Pipeline"
2670,"Pandas, Java, JavaScript","Problem Solving, Communication, Time Management","Analytics Dashboard, Automation Bot, Data Pipeline"
2671,"Python, C++, React","Problem Solving, Communication, Teamwork","ETL Tool, Chatbot, Placement Portal"
2672,"DSA, SQL, C++","Leadership, Teamwork, Adaptability","Data Pipeline, Student CRM, Analytics Dashboard"
2673,"Node.js, DSA, Excel","Communication, Teamwork, Leadership","Automation Bot, Student CRM, Placement Portal"
2674,"C++, DSA, Node.js","Time Management, Adaptability, Problem Solving","Placement Portal, Analytics Dashboard, Student CRM"
2675,"JavaScript, Node.js, SQL","Teamwork, Leadership, Communication","ETL Tool, Data Pipeline, Automation Bot"
2676,"JavaScript, SQL, C++","Time Management, Leadership, Problem Solving","Inventory System, Attendance Tracker, Placement Portal"
2677,"React, Docker, Pandas","Leadership, Time Management, Communication","Recommendation Engine, Attendance Tracker, Chatbot"
2678,"Java, Python, Docker","Problem Solving, Adaptability, Leadership","ETL Tool, Attendance Tracker, Placement Portal"
2679,"JavaScript, React, Node.js","Communication, Time Management, Adaptability","Student CRM, Attendance Tracker, Chatbot"
2680,"React, Docker, JavaScript","Communication, Leadership, Time Management","Placement Portal, Inventory System, Automation Bot"
2681,"Java, React, SQL","Time Management, Problem Solving, Adaptability","Student CRM, Placement Portal, Attendance Tracker"
2682,"Pandas, AWS, Java","Adaptability, Teamwork, Leadership","Recommendation Engine, Placement Portal, Analytics Dashboard"
2683,"AWS, Excel, Java","Adaptability, Time Management, Communication","Chatbot, ETL Tool, Attendance Tracker"
2684,"C++, React, AWS","Adaptability, Leadership, Time Management","ETL Tool, Student CRM, Attendance Tracker"
2685,"JavaScript, Docker, Excel","Time Management, Teamwork, Communication","Automation Bot, Placement Portal, Inventory System"
2686,"Python, Pandas, C++","Problem Solving, Leadership, Communication","Student CRM, Inventory System, Recommendation Engine"
2687,"SQL, JavaScript, Node.js","Leadership, Adaptability, Time Management","Student CRM, Attendance Tracker, ETL Tool"
2688,"AWS, C++, SQL","Adaptability, Problem Solving, Time Management","Student CRM, Analytics Dashboard, Automation Bot"
2689,"AWS, Node.js, Docker","Teamwork, Communication, Leadership","Automation Bot, Recommendation Engine, Student CRM"
2690,"Excel, SQL, JavaScript","Problem Solving, Time Management, Teamwork","Inventory System, Data Pipeline, Student CRM"
2691,"SQL, Python, Docker","Time Management, Teamwork, Communication","Attendance Tracker, Student CRM, Placement Portal"
2692,"React, Pandas, Docker","Adaptability, Leadership, Communication","Attendance Tracker, Chatbot, ETL Tool"
2693,"Python, JavaScript, React","Teamwork, Adaptability, Leadership","Attendance Tracker, ETL Tool, Automation Bot"
2694,"Pandas, Excel, DSA","Adaptability, Time Management, Problem Solving","Analytics Dashboard, Recommendation Engine, Data Pipeline"
2695,"React, Pandas, SQL","Problem Solving, Leadership, Time Management","Recommendation Engine, Attendance Tracker, ETL Tool"
2696,"Pandas, Python, Node.js","Problem Solving, Adaptability, Time Management","Attendance Tracker, Data Pipeline, Student CRM"
2697,"DSA, React, Node.js","Communication, Problem Solving, Teamwork","Data Pipeline, Chatbot, Placement Portal"
2698,"AWS, React, Excel","Communication, Time Management, Adaptability","Data Pipeline, Student CRM, Recommendation Engine"
2699,"Pandas, DSA, Python","Time Management, Communication, Problem Solving","Attendance Tracker, Inventory System, Student CRM"
2700,"AWS, React, SQL","Time Management, Teamwork, Communication","Recommendation Engine, Placement Portal, Attendance Tracker"
2701,"Docker, Python, SQL","Leadership, Teamwork, Adaptability","Inventory System, Analytics Dashboard, Placement Portal"
2702,"Node.js, C++, Java","Adaptability, Leadership, Communication","ETL Tool, Automation Bot, Placement Portal"
2703,"Node.js, SQL, C++","Communication, Adaptability, Problem Solving","Analytics Dashboard, Automation Bot, Data Pipeline"
2704,"Java, Excel, React","Time Management, Problem Solving, Adaptability","Inventory System, Chatbot, Analytics Dashboard"
2705,"JavaScript, C++, SQL","Adaptability, Teamwork, Communication","Student CRM, Chatbot, ETL Tool"
2706,"Node.js, Docker, JavaScript","Teamwork, Time Management, Leadership","ETL Tool, Data Pipeline, Analytics Dashboard"
2707,"C++, Python, Java","Communication, Teamwork, Leadership","Chatbot, Student CRM, ETL Tool"
2708,"JavaScript, Java, SQL","Communication, Time Management, Problem Solving","Attendance Tracker, Automation Bot, Placement Portal"
2709,"Node.js, Docker, DSA","Leadership, Time Management, Teamwork","Recommendation Engine, Data Pipeline, ETL Tool"
2710,"C++, Pandas, Java","Communication, Time Management, Adaptability","Analytics Dashboard, Data Pipeline, Automation Bot"
2711,"C++, Docker, AWS","Time Management, Problem Solving, Adaptability","Placement Portal, Analytics Dashboard, Chatbot"
2712,"AWS, Java, Docker","Problem Solving, Teamwork, Adaptability","Chatbot, Automation Bot, Analytics Dashboard"
2713,"React, Excel, JavaScript","Leadership, Teamwork, Problem Solving","ETL Tool, Analytics Dashboard, Data Pipeline"
2714,"C++, JavaScript, Docker","Leadership, Adaptability, Teamwork","Attendance Tracker, Placement Portal, ETL Tool"
2715,"Java, React, JavaScript","Time Management, Teamwork, Adaptability","Recommendation Engine, Inventory System, Attendance Tracker"
2716,"SQL, DSA, JavaScript","Leadership, Communication, Teamwork","Chatbot, Analytics Dashboard, Automation Bot"
2717,"JavaScript, AWS, SQL","Adaptability, Problem Solving, Leadership","Attendance Tracker, Chatbot, Data Pipeline"
2718,"Node.js, Docker, Pandas","Communication, Time Management, Teamwork","Data Pipeline, Chatbot, Student CRM"
2719,"DSA, Java, JavaScript","Problem Solving, Time Management, Communication","Recommendation Engine, Automation Bot, Data Pipeline"
2720,"Excel, Pandas, SQL","Time Management, Leadership, Communication","Analytics Dashboard, Attendance Tracker, ETL Tool"
2721,"SQL, JavaScript, C++","Time Management, Leadership, Adaptability","Attendance Tracker, Inventory System, Placement Portal"
2722,"AWS, Node.js, DSA","Time Management, Teamwork, Problem Solving","Automation Bot, Analytics Dashboard, Data Pipeline"
2723,"Node.js, Excel, Python","Communication, Teamwork, Time Management","Placement Portal, Recommendation Engine, Student CRM"
2724,"Docker, Pandas, React","Teamwork, Leadership, Time Management","Student CRM, Attendance Tracker, Analytics Dashboard"
2725,"C++, React, SQL","Communication, Problem Solving, Leadership","Automation Bot, Recommendation Engine, Student CRM"
2726,"SQL, C++, Node.js","Communication, Time Management, Leadership","Analytics Dashboard, Student CRM, Automation Bot"
2727,"SQL, Pandas, Docker","Teamwork, Adaptability, Communication","ETL Tool, Inventory System, Data Pipeline"
2728,"AWS, Python, Node.js","Time Management, Problem Solving, Adaptability","ETL Tool, Analytics Dashboard, Automation Bot"
2729,"JavaScript, Python, Docker","Leadership, Adaptability, Problem Solving","Inventory System, Chatbot, Analytics Dashboard"
2730,"Excel, Python, Docker","Adaptability, Teamwork, Time Management","Attendance Tracker, Automation Bot, Inventory System"
2731,"DSA, C++, Pandas","Leadership, Communication, Problem Solving","Inventory System, Chatbot, Automation Bot"
2732,"Java, Node.js, React","Communication, Adaptability, Leadership","ETL Tool, Analytics Dashboard, Attendance Tracker"
2733,"C++, Excel, JavaScript","Adaptability, Problem Solving, Teamwork","Automation Bot, ETL Tool, Attendance Tracker"
2734,"Excel, C++, SQL","Adaptability, Problem Solving, Communication","ETL Tool, Inventory System, Attendance Tracker"
2735,"Python, React, Excel","Problem Solving, Adaptability, Teamwork","Placement Portal, Attendance Tracker, Student CRM"
2736,"Pandas, AWS, Node.js","Adaptability, Problem Solving, Communication","ETL Tool, Analytics Dashboard, Chatbot"
2737,"Node.js, AWS, Excel","Adaptability, Problem Solving, Communication","Placement Portal, Recommendation Engine, Automation Bot"
2738,"JavaScript, Pandas, Docker","Adaptability, Communication, Leadership","Automation Bot, Chatbot, Attendance Tracker"
2739,"Docker, JavaScript, Excel","Leadership, Problem Solving, Teamwork","Analytics Dashboard, Placement Portal, ETL Tool"
2740,"Docker, Excel, React","Time Management, Teamwork, Adaptability","Placement Portal, Automation Bot, Chatbot"
2741,"Docker, AWS, Excel","Problem Solving, Teamwork, Adaptability","Student CRM, Data Pipeline, ETL Tool"
2742,"JavaScript, React, Excel","Problem Solving, Adaptability, Leadership","Chatbot, Attendance Tracker, ETL Tool"
2743,"Pandas, JavaScript, Node.js","Teamwork, Adaptability, Communication","Student CRM, Attendance Tracker, Automation Bot"
2744,"Java, Excel, Pandas","Problem Solving, Communication, Time Management","Data Pipeline, Student CRM, Automation Bot"
2745,"C++, Docker, Node.js","Leadership, Time Management, Problem Solving","Inventory System, Automation Bot, Student CRM"
2746,"Docker, Java, React","Time Management, Communication, Teamwork","Inventory System, Placement Portal, Attendance Tracker"
2747,"AWS, Node.js, SQL","Teamwork, Communication, Leadership","ETL Tool, Placement Portal, Data Pipeline"
2748,"DSA, Python, JavaScript","Teamwork, Adaptability, Problem Solving","Recommendation Engine, Chatbot, Inventory System"
2749,"React, Docker, Node.js","Time Management, Leadership, Problem Solving","Inventory System, Chatbot, Data Pipeline"
2750,"Python, Java, Excel","Problem Solving, Leadership, Time Management","Inventory System, ETL Tool, Data Pipeline"
2751,"SQL, DSA, Docker","Communication, Leadership, Problem Solving","Student CRM, ETL Tool, Recommendation Engine"
2752,"Pandas, Java, DSA","Communication, Teamwork, Leadership","Placement Portal, Attendance Tracker, Automation Bot"
2753,"Node.js, SQL, Pandas","Adaptability, Communication, Problem Solving","Chatbot, Placement Portal, Automation Bot"
2754,"DSA, AWS, Docker","Communication, Leadership, Adaptability","Data Pipeline, Placement Portal, ETL Tool"
2755,"React, C++, Node.js","Leadership, Teamwork, Adaptability","Student CRM, Analytics Dashboard, Placement Portal"
2756,"Python, Excel, Node.js","Communication, Problem Solving, Teamwork","Chatbot, Placement Portal, Attendance Tracker"
2757,"Node.js, JavaScript, Excel","Teamwork, Time Management, Leadership","Recommendation Engine, Analytics Dashboard, Placement Portal"
2758,"Java, React, AWS","Problem Solving, Communication, Adaptability","Data Pipeline, Analytics Dashboard, Attendance Tracker"
2759,"Node.js, DSA, Docker","Leadership, Adaptability, Communication","Student CRM, Automation Bot, Recommendation Engine"
2760,"Docker, SQL, DSA","Adaptability, Communication, Time Management","Inventory System, Chatbot, Data Pipeline"
2761,"Docker, React, DSA","Time Management, Leadership, Teamwork","Placement Portal, Automation Bot, ETL Tool"
2762,"AWS, Excel, Python","Adaptability, Leadership, Time Management","Data Pipeline, Automation Bot, Chatbot"
2763,"DSA, Node.js, Java","Leadership, Time Management, Problem Solving","Placement Portal, Data Pipeline, Inventory System"
2764,"Docker, Python, Java","Adaptability, Problem Solving, Time Management","Data Pipeline, Analytics Dashboard, Student CRM"
2765,"Java, JavaScript, Excel","Adaptability, Teamwork, Problem Solving","Data Pipeline, Inventory System, Analytics Dashboard"
2766,"DSA, AWS, React","Time Management, Communication, Teamwork","Chatbot, Recommendation Engine, Placement Portal"
2767,"Pandas, React, Java","Communication, Problem Solving, Leadership","Student CRM, Data Pipeline, Analytics Dashboard"
2768,"Excel, Python, Node.js","Teamwork, Communication, Time Management","Recommendation Engine, Automation Bot, ETL Tool"
2769,"Excel, Python, Node.js","Communication, Leadership, Adaptability","Analytics Dashboard, ETL Tool, Data Pipeline"
2770,"Python, Node.js, React","Leadership, Communication, Adaptability","Inventory System, Attendance Tracker, Recommendation Engine"
2771,"Pandas, Java, Python","Leadership, Time Management, Communication","Placement Portal, Recommendation Engine, Automation Bot"
2772,"SQL, AWS, Node.js","Teamwork, Time Management, Leadership","Placement Portal, Inventory System, Analytics Dashboard"
2773,"Java, Excel, AWS","Adaptability, Communication, Teamwork","Analytics Dashboard, Student CRM, Inventory System"
2774,"C++, Node.js, React","Problem Solving, Teamwork, Communication","Automation Bot, Chatbot, Recommendation Engine"
2775,"AWS, Python, SQL","Teamwork, Communication, Adaptability","Chatbot, Attendance Tracker, Placement Portal"
2776,"Java, Pandas, Excel","Leadership, Adaptability, Teamwork","Automation Bot, ETL Tool, Recommendation Engine"
2777,"C++, Python, Pandas","Adaptability, Problem Solving, Leadership","Analytics Dashboard, Data Pipeline, Inventory System"
2778,"Pandas, Node.js, DSA","Leadership, Teamwork, Time Management","Recommendation Engine, Attendance Tracker, Student CRM"
2779,"React, C++, JavaScript","Adaptability, Teamwork, Time Management","Placement Portal, ETL Tool, Inventory System"
2780,"Node.js, Java, Docker","Communication, Leadership, Time Management","Placement Portal, Inventory System, Attendance Tracker"
2781,"Pandas, Excel, DSA","Communication, Adaptability, Time Management","Chatbot, Student CRM, Inventory System"
2782,"Docker, Node.js, Pandas","Communication, Adaptability, Problem Solving","Chatbot, Analytics Dashboard, Student CRM"
2783,"AWS, Excel, Java","Problem Solving, Teamwork, Adaptability","Inventory System, Automation Bot, Chatbot"
2784,"JavaScript, Excel, Java","Time Management, Teamwork, Problem Solving","Data Pipeline, Attendance Tracker, Placement Portal"
2785,"React, Java, Excel","Communication, Time Management, Teamwork","Inventory System, Attendance Tracker, Automation Bot"
2786,"React, Docker, C++","Problem Solving, Time Management, Communication","Inventory System, Automation Bot, ETL Tool"
2787,"AWS, React, Python","Teamwork, Communication, Leadership","Student CRM, Data Pipeline, Placement Portal"
2788,"Pandas, AWS, C++","Adaptability, Leadership, Problem Solving","Chatbot, Automation Bot, Student CRM"
2789,"Python, Pandas, Java","Adaptability, Time Management, Problem Solving","Chatbot, Automation Bot, Analytics Dashboard"
2790,"React, Java, SQL","Teamwork, Adaptability, Problem Solving","Student CRM, Inventory System, Analytics Dashboard"
2791,"Pandas, React, Excel","Leadership, Communication, Problem Solving","ETL Tool, Analytics Dashboard, Recommendation Engine"
2792,"JavaScript, DSA, Pandas","Problem Solving, Adaptability, Time Management","Placement Portal, Analytics Dashboard, Student CRM"
2793,"SQL, Python, Docker","Teamwork, Leadership, Communication","Placement Portal, Attendance Tracker, Automation Bot"
2794,"JavaScript, Python, Node.js","Time Management, Problem Solving, Adaptability","Automation Bot, Student CRM, Recommendation Engine"
2795,"JavaScript, C++, Docker","Adaptability, Communication, Leadership","ETL Tool, Student CRM, Analytics Dashboard"
2796,"React, AWS, Node.js","Communication, Teamwork, Leadership","ETL Tool, Automation Bot, Chatbot"
2797,"DSA, AWS, SQL","Problem Solving, Adaptability, Teamwork","Data Pipeline, ETL Tool, Attendance Tracker"
2798,"DSA, Excel, JavaScript","Problem Solving, Teamwork, Leadership","Automation Bot, Inventory System, Attendance Tracker"
2799,"DSA, SQL, AWS","Leadership, Time Management, Adaptability","Data Pipeline, Student CRM, Recommendation Engine"
2800,"Pandas, AWS, Docker","Adaptability, Teamwork, Communication","Student CRM, Attendance Tracker, Recommendation Engine"
2801,"React, Pandas, Docker","Adaptability, Leadership, Time Management","Inventory System, Automation Bot, Student CRM"
2802,"JavaScript, Node.js, Python","Teamwork, Communication, Leadership","ETL Tool, Student CRM, Analytics Dashboard"
2803,"Docker, Python, SQL","Adaptability, Problem Solving, Time Management","Automation Bot, ETL Tool, Chatbot"
2804,"AWS, Docker, DSA","Leadership, Adaptability, Communication","ETL Tool, Analytics Dashboard, Data Pipeline"
2805,"Node.js, JavaScript, Pandas","Adaptability, Leadership, Communication","Recommendation Engine, Analytics Dashboard, Data Pipeline"
2806,"C++, Docker, AWS","Leadership, Communication, Time Management","ETL Tool, Analytics Dashboard, Attendance Tracker"
2807,"Pandas, Python, AWS","Communication, Problem Solving, Leadership","Recommendation Engine, Automation Bot, Data Pipeline"
